,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
10506,1231736004,OMVOH 100 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,Eli Lilly Nederland B.V.,27/06/2023,Autorizado,28/06/2023,L04AC24,MIRIKIZUMAB,1,SI,SI,Diagnóstico Hospitalario,,NO,NO,OMVOH
10507,1231738007,JAYPIRCA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Eli Lilly Nederland B.V.,27/11/2023,Autorizado,28/11/2023,L01EL05,PIRTOBRUTINIB,1,SI,SI,Diagnóstico Hospitalario,,SI,NO,JAYPIRCA
10508,1231740001,AREXVY POLVO Y SUSPENSION PARA SUSPENSION INYECTABLE,Glaxosmithkline Biologicals,12/06/2023,Autorizado,13/06/2023,J07BX05,VACUNA (RSVPREF) DE SUBUNIDAD F ESTABILIZADA EN PREFUSION FRENTE AL VIRUS RESPIRATORIO SINCITIAL.,1,SI,SI,Medicamento Sujeto A Prescripción Médica,Biológicos,NO,NO,AREXVY
10509,1231748002,TALVEY 40 MG/ML SOLUCION INYECTABLE,Janssen-Cilag International N.V,29/08/2023,Autorizado,30/08/2023,L01FX29,TALQUETAMAB,1,SI,SI,Uso Hospitalario,Biológicos,SI,NO,TALVEY
10510,1231750001,AQUIPTA 10 MG COMPRIMIDOS,Abbvie Deutschland Gmbh & Co. Kg,27/10/2023,Autorizado,30/10/2023,N02CD07,ATOGEPANT MONOHIDRATO,1,SI,SI,Diagnóstico Hospitalario,,NO,NO,AQUIPTA
10511,1231751001,YESAFILI 40 MG/ML SOLUCION INYECTABLE EN VIAL,Biosimilar Collaborations Ireland Limited,04/08/2025,Autorizado,05/08/2025,S01LA05,AFLIBERCEPT,1,NO,SI,Uso Hospitalario,Biológicos,SI,NO,YESAFILI
10512,1231766001,"YORVIPATH 168 MICROGRAMOS/0,56 ML SOLUCION INYECTABLE EN PLUMA PRECARGADA",Ascendis Pharma Bone Diseases A/S,19/06/2024,Autorizado,20/06/2024,H05AA05,PALOPEGTERIPARATIDA,1,SI,SI,Diagnóstico Hospitalario,Biológicos,NO,NO,YORVIPATH
10513,1231772011,"ELUCIREM 0,5 MMOL/ML SOLUCION INYECTABLE",Guerbet,05/02/2024,Autorizado,06/02/2024,V08CA12,GADOPICLENOL,1,SI,SI,Uso Hospitalario,,NO,NO,ELUCIREM
10514,1231777001,AZACITIDINA KABI 25 MG/ML POLVO PARA SUSPENSION INYECTABLE EFG,Fresenius Kabi Deutschland Gmbh,10/01/2024,Autorizado,11/01/2024,L01BC07,AZACITIDINA,1,NO,NO,Uso Hospitalario,,SI,NO,AZACITIDINA
10515,1231785008,POMALIDOMIDA VIATRIS 2 MG CAPSULAS DURAS EFG,Viatris Limited,21/02/2024,Autorizado,22/02/2024,L04AX06,POMALIDOMIDA,1,NO,NO,Uso Hospitalario,,SI,NO,POMALIDOMIDA
10516,1231788002,FILSPARI 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Vifor France,20/09/2024,Autorizado,21/09/2024,C09XX01,ESPARSENTAN,1,NO,SI,Diagnóstico Hospitalario,,NO,NO,FILSPARI
10517,1231790001,VELSIPITY 2 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Pfizer Europe Ma Eeig,26/02/2024,Autorizado,27/02/2024,L04AE05,ETRASIMOD L-ARGININA,1,SI,SI,Diagnóstico Hospitalario,,NO,NO,VELSIPITY
10518,12333201901,SPIRAXIN 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Alfasigma S.P.A.,22/08/2023,Autorizado,23/08/2023,A07AA11,RIFAXIMINA,1,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,SPIRAXIN
10519,1241801004,PYZCHIVA 45 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,Samsung Bioepis Nl B.V.,18/02/2025,Autorizado,19/02/2025,L04AC05,USTEKINUMAB,1,SI,SI,Diagnóstico Hospitalario,Biológicos,NO,NO,PYZCHIVA
